surrogate,seed,carbon_price_eur_per_t,n_windows,mean_abs_gap_frac,median_gap_frac,frac_windows_flagged,mean_surrogate_delta_eur,mean_truth_delta_eur,threshold_frac,passed
hard,42,80.0,12,0.0,-0.0,0.0,-87.18,-87.2,0.02,True
hard,0,80.0,12,0.0,-0.0,0.0,-105.67,-105.84,0.02,True
hard,1,80.0,12,0.0,0.0,0.0,-54.21,-54.54,0.02,True
hard,7,80.0,12,0.0,-0.0,0.0,-119.47,-119.63,0.02,True
hard,13,80.0,12,0.0,0.0,0.0,-30.35,-30.65,0.02,True
soft,42,80.0,12,0.0,0.0,0.0,-87.16,-87.2,0.02,True
soft,0,80.0,12,0.0,-0.0,0.0,-106.37,-105.84,0.02,True
soft,1,80.0,12,0.0,0.0,0.0,-54.41,-54.54,0.02,True
soft,7,80.0,12,0.0,-0.0,0.0,-119.69,-119.63,0.02,True
soft,13,80.0,12,0.0,0.0,0.0,-30.77,-30.65,0.02,True
