metric,value,display
record_count_market_hours,43824,"43,824"
headline_saving_vs_lagged_pct,2.5818,+2.58
headline_ci95_lo_pct,2.0524,+2.05
headline_ci95_hi_pct,3.1111,+3.11
headline_p_two_sided,5.2037286741032e-06,p<10^{-5}
headline_seed_n,10,10
single_seed_sweep_mean_saving_at_0_pct,0.029035206177646555,+0.03
single_seed_sweep_mean_saving_at_80_pct,1.3954848031191518,+1.40
single_seed_constant_flow_saving_at_0_pct,21.89251265457336,+21.89
single_seed_constant_flow_saving_at_80_pct,1.4810390759640755,+1.48
w_total_mae_kwh_per_kg,2.341435219932464e-06,2.34e-06
w_total_r2,0.9999933008569332,0.999993
fidelity_median_abs_rel_error,1.5414747223108094e-07,1.54e-07
fidelity_p95_abs_rel_error,2.5931447872662438e-06,2.59e-06
fidelity_max_abs_rel_error,9.270122604654318e-05,9.27e-05
headline_wilcoxon_p_two_sided,0.001953125,p=0.002
svh_hard_at_0_mean_pct,0.0082,+0.008
svh_hard_at_0_ci95_lo_pct,-0.0092,-0.009
svh_hard_at_0_ci95_hi_pct,0.0257,+0.026
svh_hard_at_80_mean_pct,2.5818,+2.582
svh_hard_at_80_ci95_lo_pct,2.0524,+2.052
svh_hard_at_80_ci95_hi_pct,3.1111,+3.111
svh_soft_at_0_mean_pct,0.0123,+0.012
svh_soft_at_0_ci95_lo_pct,-0.0039,-0.004
svh_soft_at_0_ci95_hi_pct,0.0285,+0.029
svh_soft_at_80_mean_pct,2.584,+2.584
svh_soft_at_80_ci95_lo_pct,2.0548,+2.055
svh_soft_at_80_ci95_hi_pct,3.1132,+3.113
svh_contrast_at_0_pp,0.0041,+0.0041
svh_contrast_at_80_pp,0.0022,+0.0022
svh_max_abs_contrast_pp,0.0041,0.0041
fab_hard_flagged_windows,0,0
fab_soft_flagged_windows,0,0
fab_seed_count,5,5
fab_windows_per_seed,12,12
bench_pinn_ms_per_point,0.0111745000467635,0.0112
bench_coolprop_ms_per_point,127.7318258319865,128
bench_machine,macOS-26.5-arm64-arm-64bit,macOS-26.5-arm64-arm-64bit
mixing_linear_min_pct,1.6018557545247856,+1.60
mixing_linear_max_pct,2.767875068193548,+2.77
mixing_cstr_min_pct,2.034057929577547,+2.03
mixing_cstr_max_pct,2.6085811641050727,+2.61
mixing_min_ci_lo_pct,1.0803607264266644,+1.08
mixing_wilcoxon_max_p,0.001953125,p=0.002
volmatch_saving_pct,0.067,+0.067
volmatch_ci95_lo_pct,0.044,+0.044
volmatch_ci95_hi_pct,0.09,+0.090
volmatch_p_two_sided,0.0002921898075016,p=0.00029
volmatch_seed_n,10,10
volmatch_wilcoxon_p_two_sided,0.001953125,p=0.002
volmatch_delivered_mass_delta_pct,0.0032225183375306,+0.003
volmatch_saving_per_kg_pct,0.0702130474396007,+0.070
volmatch_max_abs_year_mass_delta_pct,0.1312819629499627,0.13
ensemble_saving_at_0_pct,0.0082,+0.01
ensemble_ci95_lo_at_0_pct,-0.0092,-0.01
ensemble_ci95_hi_at_0_pct,0.0257,+0.03
ensemble_saving_at_80_pct,2.5818,+2.58
ensemble_ci95_lo_at_80_pct,2.0524,+2.05
ensemble_ci95_hi_at_80_pct,3.1111,+3.11
ensemble_saving_at_160_pct,3.5642,+3.56
ensemble_ci95_lo_at_160_pct,2.883,+2.88
ensemble_ci95_hi_at_160_pct,4.2454,+4.25
benchmark_surrogate_median_s,0.06396,0.06396
benchmark_coolprop_median_s,707.580782,707.58
benchmark_speedup_x,11062.9,1.1e+04
tout_train_span_K,0.6018810047864349,0.602
tout_degenerate_setpoint_channel,False,False
tout_train_std_K,0.1028740637235119,0.103
decomp_carbon_fraction_of_saving,1.004256142415073,1.00
decomp_carbon_share_pct,100.4256142415073,100
decomp_mean_co2_saving_t,108485.8148860411,108485.8
decomp_delivered_mass_delta_pct,-2.5500550080503595,-2.550
decomp_saving_per_kg_pct,0.0326529694510495,+0.033
decomp_per_kg_ci95_lo_pct,0.0284294229675541,+0.028
decomp_per_kg_ci95_hi_pct,0.0368765159345449,+0.037
decomp_co2_intensity_saving_pct,0.0502700572585359,+0.050
